,CensusTract,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
21614,17031750600,3681,1268,0,9.0,0.24,0,1,0,1,1,1,36.9,54219.0,0,1,0,1,0,0,0,1,1227.0,33.34,640.0,17.37,337.0,9.17,191.0,5.19,7.0,0.2,1195.0,32.47,2.0,0.05,0.0,0.0,2.0,0.04,21.0,0.57,22.0,0.6,100.0,7.9,132.0,10.39,1778.0,905.0,661.0,25.0,3585.0,3.0,8.0,4.0,56.0,54.0,301.0,391.0
21615,17031760801,4047,2103,0,0.0,0.0,0,0,0,0,1,0,10.8,68054.0,0,1,0,1,0,0,0,1,4047.0,100.0,1361.0,33.62,566.0,13.99,326.0,8.06,2931.0,72.42,231.0,5.71,609.0,15.05,4.0,0.1,3.0,0.07,269.0,6.65,380.0,9.39,248.0,11.81,225.0,10.71,1442.0,566.0,326.0,2931.0,231.0,609.0,4.0,3.0,269.0,380.0,254.0,228.0
21616,17031760802,2276,1145,0,0.0,0.0,0,0,0,0,0,0,12.9,74638.0,0,0,0,0,0,0,0,0,293.0,12.9,94.0,4.14,48.0,2.11,83.0,3.65,272.0,11.94,0.0,0.0,12.0,0.53,0.0,0.0,0.0,0.0,10.0,0.43,24.0,1.05,13.0,1.12,13.0,1.11,817.0,284.0,681.0,2158.0,6.0,53.0,0.0,0.0,59.0,133.0,113.0,112.0
21617,17031760803,6236,2759,0,4.0,0.06,0,1,0,1,1,1,15.0,53278.0,0,1,0,1,0,0,0,1,5692.0,91.28,2352.0,37.72,1145.0,18.36,552.0,8.86,4825.0,77.37,162.0,2.6,366.0,5.87,0.0,0.0,15.0,0.24,324.0,5.2,615.0,9.86,332.0,12.02,283.0,10.26,2403.0,1252.0,662.0,5323.0,169.0,384.0,0.0,15.0,345.0,680.0,383.0,315.0
21618,17031770201,5894,2766,0,25.0,0.42,0,0,0,0,1,0,6.2,88904.0,0,1,0,1,0,0,0,1,4479.0,75.99,1167.0,19.79,830.0,14.09,649.0,11.01,3312.0,56.19,137.0,2.33,677.0,11.48,0.0,0.0,11.0,0.19,341.0,5.79,620.0,10.51,233.0,8.42,155.0,5.61,1380.0,1059.0,1120.0,4648.0,150.0,724.0,0.0,13.0,359.0,683.0,288.0,206.0
21619,17031770202,4912,2121,0,5.0,0.1,0,0,0,0,0,0,4.2,86250.0,0,1,0,1,0,0,0,0,1830.0,37.25,430.0,8.76,330.0,6.71,404.0,8.23,1683.0,34.26,10.0,0.2,74.0,1.5,0.0,0.0,11.0,0.23,52.0,1.06,113.0,2.29,35.0,1.65,33.0,1.55,1141.0,899.0,1077.0,4452.0,52.0,229.0,2.0,19.0,158.0,380.0,105.0,97.0
21620,17031770300,7313,2940,0,0.0,0.0,0,0,0,0,1,0,2.3,86822.0,1,1,1,1,1,0,0,1,7313.0,100.0,754.0,10.31,1456.0,19.91,1007.0,13.77,6404.0,87.57,91.0,1.24,406.0,5.55,0.0,0.0,26.0,0.36,386.0,5.28,789.0,10.79,132.0,4.48,74.0,2.52,747.0,1456.0,1007.0,6404.0,91.0,406.0,0.0,26.0,386.0,789.0,112.0,71.0
21621,17031770400,4505,1728,0,0.0,0.0,0,0,0,0,1,0,6.7,84091.0,0,1,0,1,0,0,0,1,2973.0,65.98,644.0,14.3,665.0,14.77,384.0,8.53,2319.0,51.47,65.0,1.44,194.0,4.31,1.0,0.02,22.0,0.49,372.0,8.26,590.0,13.11,125.0,7.24,104.0,6.01,996.0,1026.0,576.0,3373.0,96.0,460.0,1.0,29.0,546.0,840.0,186.0,156.0
21622,17031770500,4078,1180,0,0.0,0.0,1,1,1,0,0,1,30.4,46875.0,1,1,1,1,1,0,0,0,4078.0,100.0,2502.0,61.36,1405.0,34.45,224.0,5.49,2491.0,61.08,70.0,1.72,16.0,0.39,1.0,0.02,83.0,2.04,1417.0,34.75,2920.0,71.6,27.0,2.29,242.0,20.55,2568.0,1405.0,224.0,2491.0,70.0,16.0,1.0,83.0,1417.0,2920.0,27.0,225.0
21623,17031770601,3232,1075,0,251.0,7.77,0,0,0,0,0,0,10.2,82054.0,0,1,0,1,0,0,0,0,967.0,29.92,79.0,2.45,184.0,5.68,148.0,4.57,799.0,24.72,11.0,0.34,96.0,2.96,0.0,0.0,13.0,0.42,48.0,1.47,105.0,3.26,0.0,0.0,39.0,3.65,674.0,589.0,655.0,2745.0,36.0,268.0,0.0,15.0,168.0,412.0,0.0,120.0
21624,17031770602,4956,1566,0,163.0,3.29,0,1,0,0,0,1,18.7,63367.0,0,1,0,1,0,0,0,0,1476.0,29.78,289.0,5.84,294.0,5.94,237.0,4.78,1128.0,22.76,9.0,0.19,231.0,4.65,0.0,0.0,11.0,0.23,96.0,1.94,230.0,4.64,2.0,0.14,60.0,3.83,2110.0,1285.0,685.0,3464.0,62.0,434.0,0.0,87.0,909.0,2301.0,135.0,196.0
